Water System Summary,,,,,,,,,,
Report Date: 04/30/2026 12:20:33,,,,,,,,,,
Report Filters: Submission Year is 2026 and Quarter is 1 and EPA Region in (04) and Primacy Agency in (GA) and Owner Type in (S) and Activity Status is A,,,,,,,,,,
,,,,,,,,,,
PWS ID,PWS Name,EPA Region Name,Primacy Agency,PWS Type,Population Served Count,Cities Served,Counties Served,# of Facilities,# of Violations,# of Site Visits
GA2130038,"DNR-FT MTN ST PK, OLD FT #4 SP",Region 4,Georgia,Transient non-community system,25,CHATSWORTH,Murray,3,13,4
GA2910002,DNR-VOGEL STATE PARK,Region 4,Georgia,Transient non-community system,"1,096",BLAIRSVILLE,Union,3,4,4
GA1910081,LABORATORY COMPLEX AND SHELL HAMMOCK,Region 4,Georgia,Non-Transient non-community system,10,SAPELO ISLAND,McIntosh,4,5,6
GA2070002,DNR-HIGH FALLS STATE PARK DAY USE,Region 4,Georgia,Transient non-community system,25,,Monroe,7,19,5
GA2070056,DNR-HIGH FALLS STATE PARK RIVER CAMP,Region 4,Georgia,Transient non-community system,18,,Monroe,3,5,5
GA1050037,DNR-RICHARD B. RUSSELL STATE PK,Region 4,Georgia,Transient non-community system,176,ELBERTON,Elbert,7,4,5
GA1770015,LEE STATE PRISON,Region 4,Georgia,Community water system,886,,Lee,5,27,6
GA0290018,DNR-FT MCALLISTER HIST PK PICN,Region 4,Georgia,Transient non-community system,65,,Bryan,5,8,6
GA0690007,DNR-GENERAL COFFEE STATE PARK,Region 4,Georgia,Transient non-community system,400,NICHOLLS,Coffee,7,11,4
GA1910080,DNR-REYNOLDS MANSION,Region 4,Georgia,Transient non-community system,30,,McIntosh,3,3,6
GA1950057,DNR-WATSON BRIDGE SP-DAY USE,Region 4,Georgia,Transient non-community system,81,COMER,Madison,3,7,5
GA1790015,DNR-FT MORRIS HISTORIC SITE,Region 4,Georgia,Transient non-community system,25,MIDWAY,Liberty,3,7,4
GA2530002,DNR-SEMINOLE STATE PARK,Region 4,Georgia,Transient non-community system,505,DONALSONVILLE,Seminole,6,9,5
GA3090002,DNR-LITTLE OCMULGEE STATE PARK,Region 4,Georgia,Non-Transient non-community system,374,,Wheeler,4,2,5
GA0810051,DNR-GA VETERANS PK GOLF COURSE,Region 4,Georgia,Transient non-community system,215,CORDELE,Crisp,3,5,5
GA2990013,DNR-LAURA S. WALKER STATE PARK,Region 4,Georgia,Transient non-community system,200,,Ware,5,4,5
GA2990052,DNR-L S WALKER SP GOLF COURSE,Region 4,Georgia,Transient non-community system,75,WAYCROSS,Ware,3,7,7
GA1950007,DNR- WATSON MILL BRIDGE STATE PARK,Region 4,Georgia,Transient non-community system,81,COMER,Madison,7,15,5
GA0490003,DNR-STEPHEN C. FOSTER ST. PARK,Region 4,Georgia,Transient non-community system,100,,Charlton,3,9,5
GA0390003,DNR-CROOKED RIVER STATE PARK,Region 4,Georgia,Transient non-community system,100,,Camden,5,25,7
GA0510088,DNR-SKIDAWAY ISLAND STATE PARK,Region 4,Georgia,Transient non-community system,347,SAVANNAH,Chatham,5,7,3
GA0290003,DNR-FT MCALLISTER HIST PK CAMP,Region 4,Georgia,Transient non-community system,125,,Bryan,3,12,5
GA1270030,DNR-HOFWYL BROADFIELD PLANTATION,Region 4,Georgia,Transient non-community system,67,,Glynn,3,5,3
GA0510236,DOT-REST AREA/WELCOME CTR. 112,Region 4,Georgia,Transient non-community system,"4,500",GARDEN CITY,Chatham,5,20,3
GA0810003,DNR-GA VETERANS MEMORIAL PARK,Region 4,Georgia,Transient non-community system,456,CORDELE,Crisp,6,11,4
GA1190008,DNR-VICTORIA BRYANT STATE PARK,Region 4,Georgia,Transient non-community system,111,ROYSTON,Franklin,7,5,5
GA0230003,MIDDLE GEORGIA STATE UNIVERSITY,Region 4,Georgia,Community water system,"1,500",COCHRAN,Bleckley,10,12,10
GA2670005,ROGERS STATE PRISON,Region 4,Georgia,Community water system,"1,588",,Tattnall,10,55,8
GA2410012,DNR-MOCCASIN CREEK STATE PARK,Region 4,Georgia,Transient non-community system,400,,Rabun,5,4,6
GA2510011,GEORGIA VISITOR CENTER,Region 4,Georgia,Transient non-community system,202,SYLVANIA,Screven,3,7,5
